contact_contact_organizations,id,integer,TRUE,FALSE,para fazer o join de contatos na mesma org,,
contact_contact_organizations,contact_id,integer,TRUE,FALSE,EXPORTALL,,
contact_contact_organizations,organization_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
django_admin_log,id,integer,FALSE,TRUE,,,
django_admin_log,action_time,timestamp with time zone,FALSE,TRUE,,,
django_admin_log,user_id,integer,FALSE,TRUE,,,
django_admin_log,content_type_id,integer,FALSE,TRUE,,,
django_admin_log,object_id,text,FALSE,TRUE,,,
django_admin_log,object_repr,character varying,FALSE,TRUE,,,
django_admin_log,action_flag,smallint,FALSE,TRUE,,,
django_admin_log,change_message,text,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
django_content_type,id,integer,TRUE,FALSE,EXPORTALL,,
django_content_type,name,character varying,TRUE,FALSE,,,
django_content_type,app_label,character varying,TRUE,FALSE,,,
django_content_type,model,character varying,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
django_session,session_key,character varying,FALSE,TRUE,,,
django_session,session_data,text,FALSE,TRUE,,,
django_session,expire_date,timestamp with time zone,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
django_site,id,integer,FALSE,TRUE,,,
django_site,domain,character varying,FALSE,TRUE,,,
django_site,name,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
djcelery_crontabschedule,id,integer,FALSE,TRUE,,,
djcelery_crontabschedule,minute,character varying,FALSE,TRUE,,,
djcelery_crontabschedule,hour,character varying,FALSE,TRUE,,,
djcelery_crontabschedule,day_of_week,character varying,FALSE,TRUE,,,
djcelery_crontabschedule,day_of_month,character varying,FALSE,TRUE,,,
djcelery_crontabschedule,month_of_year,character varying,FALSE,TRUE,,,
djcelery_intervalschedule,id,integer,FALSE,TRUE,,,
djcelery_intervalschedule,every,integer,FALSE,TRUE,,,
djcelery_intervalschedule,period,character varying,FALSE,TRUE,,,
djcelery_periodictask,id,integer,FALSE,TRUE,,,
djcelery_periodictask,name,character varying,FALSE,TRUE,,,
djcelery_periodictask,task,character varying,FALSE,TRUE,,,
djcelery_periodictask,interval_id,integer,FALSE,TRUE,,,
djcelery_periodictask,crontab_id,integer,FALSE,TRUE,,,
djcelery_periodictask,args,text,FALSE,TRUE,,,
djcelery_periodictask,kwargs,text,FALSE,TRUE,,,
